label	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0.209985414	0	0	0	0	0	0	0	0	0	0.209985414	0	0	0	0	0	0	0	0.209985414	0	0	0	0	0	0	0
1	0	0	0	0	0.200226878	0	0	0.209985414	0	0	0	0	0	0	0	0	0.200226878	0	0.209985414	0	0	0	0	0	0	0	0.200226878	0	0.209985414	0	0	0	0
2	0	0	0	0	0.188035155	0	0.209985414	0	0	0	0	0	0	0	0	0.188035155	0	0	0.209985414	0	0	0	0	0	0	0	0	0.188035155	0	0.209985414	0	0	0
2	0	0	0.151544096	0	0.209985414	0	0	0	0	0	0	0	0	0	0	0.188035155	0.078561977	0.209985414	0	0	0	0	0	0	0	0	0.188035155	0.078561977	0	0.209985414	0	0	0
2	0	0.188035155	0.078561977	0.209985414	0.267383614	0	0	0	0	0	0	0	0	0.151544096	0	0.238684514	0	0	0	0	0	0	0	0	0	0	0.188035155	0.078561977	0.238684514	0	0	0	0
2	0	0.188035155	0.078561977	0.209985414	0.267383614	0.232063998	0	0	0	0	0	0	0.188035155	0.078561977	0.209985414	0.249723806	0	0	0	0	0	0	0	0	0.151544096	0	0.238684514	0.232063998	0	0	0	0	0
1	0	0	0.151544096	0	0.238684514	0.201478973	0	0	0	0	0	0	0.188035155	0.078561977	0.209985414	0.267383614	0.201478973	0	0	0	0	0	0	0.188035155	0.078561977	0.209985414	0.249723806	0.170893949	0	0	0	0	0
1	0	0	0.188035155	0.078561977	0.238684514	0.172864481	0	0	0	0	0	0	0	0.151544096	0	0.238684514	0.172864481	0	0	0	0	0	0	0.188035155	0.078561977	0.209985414	0.267383614	0.172864481	0	0	0	0	0
1	0	0	0.151544096	0	0.238684514	0.141045261	0	0	0	0	0	0	0	0.188035155	0.078561977	0.238684514	0.172864481	0.045587601	0	0	0	0	0	0	0.151544096	0	0.238684514	0.141045261	0	0	0	0	0
1	0	0.151544096	0	0.238684514	0.133735482	0	0	0	0	0	0	0	0	0.151544096	0	0.238684514	0.133735482	0	0	0	0	0	0	0	0.188035155	0.078561977	0.238684514	0.155772452	0.045587601	0	0	0	0
2	0.238684514	0.123450559	0	0	0	0	0	0	0	0	0	0	0.151544096	0	0.238684514	0.123450559	0	0	0	0	0	0	0	0	0.151544096	0	0.238684514	0.123450559	0	0	0	0	0
2	0	0.238684514	0.123450559	0	0	0.423140668	0	0	0	0	0	0.238684514	0.123450559	0	0	0	0.423140668	0	0	0	0	0	0	0.151544096	0	0.238684514	0.123450559	0	0	0.423140668	0	0	0
2	0	0.193955132	0.127241398	0	0.136860859	0.423140668	0	0	0	0	0	0	0.238684514	0.123450559	0	0	0.280000764	0	0	0	0	0	0.238684514	0.123450559	0	0	0.136860859	0.423140668	0	0	0	0	0
1	0.238684514	0.123450559	0	0	0.245635503	0	0	0	0	0	0	0	0.193955132	0.127241398	0	0.136860859	0.300022825	0	0	0	0	0	0	0.238684514	0.123450559	0	0	0.245635503	0	0	0	0	0
2	0.123450559	0	0	0.15688292	0.311900357	0	0	0	0	0	0	0.238684514	0.123450559	0	0	0.245635503	0.200660045	0	0	0	0	0	0	0.193955132	0.127241398	0	0.136860859	0.266901898	0	0	0	0	0
2	0	0	0.15688292	0.228482545	0	0	0	0	0	0	0	0.123450559	0	0	0.15688292	0.228482545	0	0	0	0	0	0	0.238684514	0.123450559	0	0	0.245635503	0.131153483	0	0	0	0	0
2	0	0	0.245635503	0.131153483	0.198929391	0	0	0	0	0	0	0	0	0.15688292	0.228482545	0.198929391	0	0	0	0	0	0	0.123450559	0	0	0.15688292	0.228482545	0.198929391	0	0	0	0	0
0	0	0.245635503	0.131153483	0.198929391	0.231496428	0	0	0	0	0	0	0	0	0.245635503	0.131153483	0.198929391	0.231496428	0	0	0	0	0	0	0	0.15688292	0.228482545	0.198929391	0.231496428	0	0	0	0	0
0	0	0.234391638	0.061646921	0.21521291	0.195393197	0	0	0	0	0	0	0	0.245635503	0.131153483	0.198929391	0.213444813	0	0	0	0	0	0	0	0	0.245635503	0.131153483	0.198929391	0.213444813	0	0	0	0	0
2	0	0	0.245635503	0.131153483	0.198929391	0.213444813	0.247869557	0	0	0	0	0	0.234391638	0.061646921	0.21521291	0.195393197	0.247869557	0	0	0	0	0	0	0.245635503	0.131153483	0.198929391	0.213444813	0.247869557	0	0	0	0	0
2	0.238684514	0.123450559	0	0	0.15688292	0.228482545	0.198929391	0.20568601	0.247869557	0	0	0	0	0.245635503	0.131153483	0.198929391	0.20568601	0.247869557	0	0	0	0	0	0.234391638	0.061646921	0.206864741	0.195393197	0.247869557	0	0	0	0	0
2	0.238684514	0.123450559	0	0	0.224706059	0.131153483	0.198929391	0.20568601	0.247869557	0	0	0.238684514	0.123450559	0	0	0.15688292	0.211841341	0.198929391	0.20568601	0.247869557	0	0	0	0	0.245635503	0.141408231	0.198929391	0.20568601	0.247869557	0	0	0	0
2	0.238684514	0.123450559	0	0	0.208621185	0.061646921	0.21521291	0.192780801	0.247869557	0	0	0.238684514	0.123450559	0	0	0.210213413	0.131153483	0.198929391	0.20568601	0.247869557	0	0	0.238684514	0.123450559	0	0	0.15688292	0.199921638	0.198929391	0.20568601	0.247869557	0	0
2	0.238684514	0.123450559	0	0.136860859	0.22297325	0.125241581	0.206864741	0.195393197	0.247869557	0	0	0.238684514	0.123450559	0	0	0.208621185	0.125241581	0.21521291	0.192780801	0.247869557	0	0	0.238684514	0.123450559	0	0	0.210213413	0.150381069	0.198929391	0.20568601	0.247869557	0	0
2	0.238684514	0.123450559	0	0.136860859	0.22297325	0.128376886	0.206864741	0.195393197	0.247869557	0	0	0.238684514	0.123450559	0	0.136860859	0.22297325	0.128376886	0.206864741	0.195393197	0.247869557	0	0	0.238684514	0.123450559	0	0	0.208621185	0.128376886	0.21521291	0.192780801	0.247869557	0	0
2	0.16899248	0.110705682	0	0.15688292	0.187517457	0.188836242	0.206864741	0.221631377	0	0	0	0.238684514	0.123450559	0	0.136860859	0.22297325	0.140874294	0.206864741	0.195393197	0.247869557	0	0	0.238684514	0.123450559	0	0.136860859	0.22297325	0.140874294	0.206864741	0.195393197	0.247869557	0	0
2	0.141045261	0	0.136860859	0.22297325	0.152432295	0.206864741	0.221631377	0	0	0	0	0.16899248	0.110705682	0	0.15688292	0.187517457	0.193750271	0.206864741	0.221631377	0	0	0	0.238684514	0.123450559	0	0.136860859	0.22297325	0.152432295	0.206864741	0.195393197	0.247869557	0	0
2	0.141045261	0	0.15688292	0.234490318	0.171782325	0.206864741	0.221631377	0	0	0	0	0.141045261	0	0.136860859	0.22297325	0.171782325	0.206864741	0.221631377	0	0	0	0	0.16899248	0.110705682	0	0.15688292	0.187517457	0.218677673	0.206864741	0.221631377	0	0	0
2	0.141045261	0	0.15688292	0.187517457	0.193249808	0.206864741	0.221631377	0	0	0	0	0.141045261	0	0.15688292	0.234490318	0.163951452	0.206864741	0.221631377	0	0	0	0	0.141045261	0	0.136860859	0.22297325	0.163951452	0.206864741	0.221631377	0	0	0	0
2	0.045587601	0	0.15688292	0.188902527	0.194809361	0.197044664	0.247869557	0	0	0	0	0.141045261	0	0.15688292	0.187517457	0.193249808	0.197928713	0.221631377	0	0	0	0	0.141045261	0	0.15688292	0.234490318	0.163951452	0.197928713	0.221631377	0	0	0	0
2	0	0	0.245635503	0.159622759	0.194809361	0.205028655	0.247869557	0	0	0	0	0.045587601	0	0.15688292	0.188902527	0.194809361	0.205028655	0.247869557	0	0	0	0	0.141045261	0	0.15688292	0.187517457	0.193249808	0.205735894	0.221631377	0	0	0	0
